,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(5, 0)","(5, 1)","(5, 2)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(6, 0)","(6, 1)","(6, 2)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(6, 8)","(6, 9)","(7, 0)","(7, 1)","(7, 2)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)","(7, 8)","(7, 9)","(8, 0)","(8, 1)","(8, 2)","(8, 3)","(8, 4)","(8, 5)","(8, 6)","(8, 7)","(8, 8)","(8, 9)","(9, 0)","(9, 1)","(9, 2)","(9, 3)","(9, 4)","(9, 5)","(9, 6)","(9, 7)","(9, 8)","(9, 9)"
0,678,1359,1671,1359,1716,1359,1914,1461,1689,1359,1368,3189,4656,3672,1884,1962,1512,1359,1398,1359,3069,2907,4536,3441,2427,1731,1359,1359,1656,1359,2994,2100,3018,2304,3252,2346,1566,1848,1554,1359,3801,3720,4785,2016,2211,2316,1692,1539,1383,1359,4020,4803,6090,3954,3606,2907,1536,1719,1743,1359,4098,4002,5091,3327,1920,2796,1524,1872,1359,1359,4155,4263,4962,3096,3033,2184,1503,1485,1464,1359,4308,3321,3549,3978,2832,3156,1929,1623,1779,1359,2520,2343,1842,1143,1224,726,624,651,624,624
1,11568,12861,11187,10260,10014,7980,7716,5229,3219,1362,15756,19629,17109,17523,15759,15585,14244,12621,12021,2319,18807,21111,19749,19137,15969,15828,14637,13911,11607,2838,18546,21462,19827,19707,16854,17115,14802,13929,11946,3615,20400,21894,21003,20613,17493,17448,15747,14526,13002,4599,19149,23283,23013,21261,18978,18420,16254,15105,12645,5412,22155,23307,22824,21207,19317,18804,16812,15672,13557,4956,20502,24942,23334,21732,19872,19842,17697,13380,14007,5367,19905,24579,23475,22941,20262,20604,17811,16296,14397,6435,15729,19224,17391,16347,15336,14586,12609,11691,10251,4152
2,771,3867,3204,2166,3666,5091,5079,6984,6963,5367,681,3585,2319,2403,4326,5475,6417,7023,7098,4911,1164,3333,2796,2316,3696,4800,6504,7404,7587,4503,681,2895,2649,3435,4389,4806,6501,7107,7041,4866,681,3477,2751,2517,4224,4998,6711,6276,5796,4971,681,2904,2292,1572,3384,4746,5709,5997,4116,4206,681,3333,2502,1947,3807,5283,5787,5388,5448,5082,681,3495,1881,2175,4011,5316,5718,6471,5094,4101,1401,2973,3408,2427,4107,4587,6093,5253,5484,2577,858,1941,2577,2277,2826,3057,2535,2541,612,612
3,1140,6108,9741,7389,10536,8262,4806,3234,2673,1338,2268,13872,15432,16038,15210,14379,9534,9426,3612,1338,13095,18702,18738,15576,15390,13119,10713,11442,6399,1338,3948,15675,17184,12120,12525,7776,6459,7074,3858,1536,2808,18489,18150,18084,15453,14847,11670,10659,8484,1338,3675,19977,18984,18477,16716,16920,14505,12426,10965,1338,4995,21657,20499,19440,18135,17424,15879,13872,11676,2316,18213,23565,22746,20808,19101,19182,17289,15036,12585,3531,18120,23769,23043,20307,19443,19530,17223,15546,11259,3906,14808,17394,17037,15531,14733,14142,11775,10683,7869,1857
4,834,4638,4944,5592,5442,6921,7305,7617,8187,5925,945,4317,5301,4761,6735,6603,8454,8133,9045,5796,852,4137,6198,4122,6594,6702,9105,8673,9939,7077,1977,3789,5805,5310,5736,6087,8460,9450,10635,6765,993,3900,5409,5370,5310,6924,8811,8802,9294,6573,1359,3660,4956,4716,5505,5781,8253,7746,8655,6360,663,3648,4980,4566,6000,7074,8976,7980,8958,6153,663,3717,4824,4956,6495,7533,10257,8187,7122,5721,663,3348,4455,5187,7053,7698,8241,8331,8589,3225,0,2115,3954,3690,4803,3528,5640,6867,2430,1077
5,16794,21990,21615,21081,20094,17784,18420,17493,15633,10137,17385,21483,21951,21036,21291,19947,19884,19320,17295,9171,14382,22254,21798,20658,21405,19728,19398,19005,16263,11151,18510,22206,22224,20922,21459,19743,19548,18063,17049,9855,16566,20055,20046,18525,18768,18492,17508,16656,15753,9561,17502,20592,20385,19500,19275,19236,18450,17367,15486,9603,15858,19191,18759,14850,17601,16332,15714,14010,13695,8265,15681,18432,18816,17910,18150,16632,16692,14958,14073,8499,15393,18195,18741,17883,17886,16959,17031,16392,14955,7869,7692,10785,9924,8772,8124,7830,5775,6606,4929,504
6,2136,3426,8208,6921,6771,4950,6675,4497,678,678,4725,11628,11292,11079,11739,9987,10584,9240,4029,1650,4557,6099,4383,5730,5118,4866,6546,5808,4347,3714,1479,3711,2040,3093,2469,3330,4224,4620,5529,4173,1650,3198,2649,3426,4176,2247,3066,2526,2895,4755,1554,2691,2874,2694,3012,2445,3408,1599,2313,2175,2517,3729,3078,3132,2853,2034,2067,2274,2181,2844,2442,2610,1662,1467,1881,1353,1410,1575,1353,1467,1149,1512,1518,1365,1353,1764,1521,1644,1353,1353,678,1353,1353,1353,1353,1353,1353,1353,1353,1353
7,663,1344,1344,1362,1344,1344,2211,1908,1344,1344,1017,2601,2805,2787,2073,1413,1344,1344,1344,1344,711,3918,3414,2373,1653,2616,1476,1344,1344,1344,2385,4161,3723,4560,3741,1905,1344,1344,1344,1344,1815,4701,5331,3159,4578,2301,1344,1344,1344,1344,1446,5463,5082,2907,3690,2421,1935,1344,1356,1344,1881,4653,5010,4992,3537,2157,1932,1344,1362,1344,1359,4785,5010,4566,3453,1755,1362,1695,1392,1344,1494,5718,5760,5010,2916,1506,1344,1410,2346,1344,1890,1812,477,591,477,489,477,477,477,477
8,9423,7800,8610,6870,6471,6447,4644,2358,3342,1326,10029,14289,13104,11433,11058,10347,9099,7749,6918,1854,14964,16155,14754,12477,11562,10920,10419,8691,8028,1989,12999,17955,16593,14025,12600,12084,11076,10032,8724,2088,17664,18972,17328,14769,14925,13842,12942,11301,9927,2523,18921,20664,18558,17568,16431,15168,13779,12729,10302,4284,16617,20730,19392,18495,16371,15258,13992,13218,11514,4056,19728,21582,20037,19146,17364,16170,14565,14310,12261,4902,17571,20220,19137,18621,17514,16377,13803,13488,11250,4656,10758,14178,11910,10380,10689,10593,9642,9024,7206,1818
9,654,654,1431,1818,654,777,693,654,660,0,1314,1941,3819,3852,2877,1896,1578,1524,1350,597,1383,4899,5205,4275,2796,1929,1383,1314,1473,597,1314,3687,3228,1713,2559,2061,1377,1605,1314,597,2304,5220,4845,3879,3339,2577,1500,1710,2001,597,2667,4578,6489,4101,2682,1629,1572,1314,1461,597,2460,5586,4719,3588,1932,1554,1512,1902,1314,597,2355,4803,4476,4032,1386,3135,2043,1338,1320,597,2331,4674,5196,4080,2859,2790,1614,3255,1629,597,3030,3858,2727,2343,1458,1314,1314,1314,1314,597
