,printer,bed_degree,print_degree,print_speed,dot_sum,sum,mean,var,std,fidelity
0,2,81,235,65,234675,112896,1128.96,1467253.778,1211.302513,0.977031937
1,1,59,204,50,1558911,1440363,14403.63,31761951.17,5635.77423,0.706966161
2,2,82,215,66,390225,269790,2697.9,2992175.73,1729.790661,0.945112726
3,1,57,212,148,1238892,1119120,11191.2,39832462.8,6311.296444,0.772321262
4,2,68,215,125,572652,453678,4536.78,5198873.152,2280.103759,0.907701735
5,2,82,202,133,1641114,1522248,15222.48,19368710.59,4400.989728,0.690307114
6,2,60,215,72,343398,221601,2216.01,6696980.29,2587.852447,0.954916509
7,2,71,236,91,223998,104886,1048.86,1758748.64,1326.178208,0.978661527
8,2,64,218,37,1222446,1104780,11047.8,26087443.56,5107.586863,0.775238656
9,2,73,240,56,227457,109764,1097.64,1669624.79,1292.139617,0.977669125
10,2,59,223,122,332199,216213,2162.13,5371868.753,2317.729223,0.956012668
11,2,69,226,140,312228,193617,1936.17,3730936.301,1931.563176,0.960609699
12,0,79,227,116,949257,828552,8285.52,4191027.61,2047.199944,0.831435705
13,1,76,225,34,857841,740559,7405.59,3661680.322,1913.551756,0.849337392
14,1,60,210,82,1269780,1149576,11495.76,10012828.26,3164.305336,0.766125159
15,1,74,201,105,1502223,1386744,13867.44,25075016.73,5007.496054,0.717874649
16,1,70,201,101,1492935,1375917,13759.17,6109575.461,2471.755542,0.720077341
17,1,85,240,144,715683,597423,5974.23,5273287.577,2296.363991,0.878457614
18,1,69,201,81,1452360,1335369,13353.69,6113418.994,2472.532911,0.728326606
19,1,71,237,132,779949,662391,6623.91,6366156.022,2523.124258,0.865240236
20,1,72,201,41,1269102,1148925,11489.25,4701549.488,2168.305672,0.766257601
21,1,79,223,140,1014357,896838,8968.38,6321541.036,2514.267495,0.817543299
22,1,78,224,95,924735,807771,8077.71,6114617.686,2472.7753,0.835663484
23,2,64,213,39,1354212,1237572,12375.72,6245654.422,2499.130733,0.748222862
24,1,78,238,129,936681,819501,8195.01,6731070.31,2594.430633,0.833277081
25,2,63,229,86,444621,325335,3253.35,4739580.068,2177.057663,0.933812404
26,1,56,234,45,827073,709569,7095.69,5876441.614,2424.137293,0.855642135
27,2,60,226,65,473610,353973,3539.73,8496824.417,2914.931289,0.927986163
28,1,56,234,45,887349,769947,7699.47,7835943.329,2799.275501,0.843358567
29,2,70,226,105,1264035,1147989,11479.89,18664856.4,4320.284296,0.766448025
30,2,75,227,45,520350,400524,4005.24,6672690.662,2583.155176,0.918515621
31,2,64,214,77,654537,536277,5362.77,9748189.097,3122.209009,0.890897428
32,2,65,235,121,356604,238398,2383.98,6421361.44,2534.040536,0.951499253
33,2,59,200,74,1874949,1758498,17584.98,28582866.94,5346.294693,0.642243366
34,2,76,219,134,1606572,1489635,14896.35,20215725.73,4496.190135,0.696942047
35,2,65,201,137,1793052,1674252,16742.52,25024265.05,5002.425916,0.659382746
36,2,84,219,77,1508484,1390899,13908.99,18766887.49,4332.076579,0.717029337
37,2,58,210,38,1390491,1273959,12739.59,30365226.26,5510.465158,0.740820129
38,2,55,235,45,897333,779721,7797.21,18517473.05,4303.193354,0.841370101
39,1,67,229,30,881295,766383,7663.83,12270126.94,3502.874097,0.844083643
40,1,67,239,144,880782,764709,7647.09,6701836.762,2588.790598,0.844424209
41,1,56,223,124,800544,681447,6814.47,6546903.569,2558.691769,0.861363399
42,1,61,228,96,690567,569661,5696.61,5084267.518,2254.832038,0.884105639
43,1,82,228,105,943764,828231,8282.31,7514956.774,2741.342148,0.831501011
44,1,72,239,82,813609,697536,6975.36,6374832.35,2524.843035,0.858090182
45,1,69,223,35,1171182,1055757,10557.57,6765942.905,2601.142615,0.785212112
46,1,62,208,98,1466514,1349442,13494.42,9680040.364,3111.276324,0.725463533
47,1,73,230,37,872814,753177,7531.77,5889355.037,2426.79934,0.84677033
48,1,64,225,106,1056816,938097,9380.97,7923786.569,2814.922125,0.809149385
49,1,78,212,122,1311996,1191819,11918.19,6701163.094,2588.660483,0.757531055
50,1,84,230,46,862245,741528,7415.28,6226173.562,2495.230162,0.849140254
